policy_id,state_of_domicile,operating_pattern,vehicle_type,gvw_lbs,heavy_vehicle_flag,vehicle_age_years,adas_equipped_flag,driver_tenure_days,driver_age,mvr_violations_3yr,prior_at_fault_claims,fleet_safety_program_flag,policy_term_months,fleet_size,cargo_type,cargo_value_usd,region_weather_risk,total_miles,total_trips,harsh_braking_events,harsh_acceleration_events,speeding_events,phone_distraction_events,tailgating_events,night_driving_pct,max_continuous_driving_hrs,aggression_index_per100mi,speeding_rate_per100mi,fatigue_exposure_density,distraction_rate_per_trip,behavioral_volatility_index,speed_x_night_severity_multiplier,fatigue_x_longhaul_score,new_driver_heavy_vehicle_multiplier,behavioral_drift_signal,operational_exposure_risk_index,vehicle_years,earned_exposure,bi_limit_usd,collision_deductible_usd,coverage_type,had_claim_flag,num_claims_12mo,catastrophic_loss_flag,incurred_loss_12mo_usd,uw_risk_tier,claim_frequency,loss_per_vehicle_year,pure_premium
POL000011,CA,long_haul,box_truck,29417,1,4.8,0,813,41,3,0,1,3,1,dry_van,22695,low,23906,355,109,60,961,48.0,44.0,32.5,13.6,1.24,4.93,9.44,0.1352,5.0,0.248,5.0,0.028,-0.267,0.3765,0.25,0.25,311905,1000,combined,0,0,0,0,High-Risk,0.0,0.0,0.0
POL000012,AZ,mixed,pickup,4658,0,0.2,0,148,36,1,2,0,12,6,general,63078,low,55375,1051,365,286,2242,162.0,97.0,14.6,7.2,2.11,4.53,5.09,0.1541,5.0,0.191,1.378,0.034,0.288,0.2445,1.0,1.0,294013,1000,combined,0,0,0,0,Standard,0.0,0.0,0.0
POL000013,OH,long_haul,pickup,3000,0,3.4,0,309,37,1,3,1,12,2,dry_van,23984,severe,20161,758,226,202,740,84.0,80.0,53.0,7.0,2.64,4.08,4.4,0.1108,5.0,0.212,5.0,0.029,0.271,0.3203,0.8064,0.8064,494933,2500,comprehensive,0,0,0,0,High-Risk,0.0,0.0,0.0
POL000014,TX,highway,van,11433,0,8.3,0,996,54,2,3,1,12,24,dry_van,125335,moderate,84762,3248,994,788,3405,87.0,314.0,24.0,3.8,4.44,4.15,2.46,0.0268,5.0,0.128,0.865,0.052,-0.296,0.2536,1.0,1.0,1023653,1000,liability_only,0,0,0,0,Standard,0.0,0.0,0.0
POL000015,TX,mixed,van,8244,0,5.9,0,187,37,0,0,0,6,6,dry_van,24989,moderate,35947,1089,332,273,1456,132.0,116.0,25.8,5.6,2.98,4.17,4.12,0.1212,5.0,0.187,1.064,0.0,-0.264,0.227,0.5,0.5,289621,500,combined,0,0,0,0,Standard,0.0,0.0,0.0
POL000016,TX,urban,straight_truck,34805,1,4.2,0,586,53,2,0,1,3,3,oversized,164747,moderate,121001,3248,994,788,3963,403.0,314.0,12.2,2.5,2.1,2.11,1.73,0.1241,5.0,0.063,0.44,1.111,0.676,0.1701,0.25,0.25,476974,2500,comprehensive,0,0,0,0,Preferred,0.0,0.0,0.0
POL000017,TX,urban,semi_truck,75462,1,3.9,0,630,35,2,0,1,12,1,refrigerated,71180,moderate,60246,1374,412,299,1963,152.0,112.0,32.1,7.3,1.86,3.7,5.16,0.1106,5.0,0.195,1.595,1.605,0.124,0.2646,0.6025,0.6025,307139,1000,collision,0,0,0,0,High-Risk,0.0,0.0,0.0
POL000018,NY,urban,straight_truck,30833,1,0.5,1,59,45,2,0,1,3,2,refrigerated,102278,high,27600,559,174,170,940,51.0,55.0,13.4,1.3,2.09,3.26,0.72,0.0912,5.0,0.089,0.327,5.0,0.0,0.1741,0.25,0.25,304955,2500,combined,0,0,0,0,Preferred,0.0,0.0,0.0
POL000019,FL,urban,box_truck,25569,0,5.7,0,254,40,1,0,1,12,6,general,34370,high,84197,1874,523,403,2728,216.0,165.0,28.5,6.2,1.96,2.8,4.39,0.1153,5.0,0.06,1.306,0.025,-0.236,0.2264,1.0,1.0,485972,1000,combined,0,0,0,0,Standard,0.0,0.0,0.0
POL000020,TX,urban,van,13208,0,6.1,1,750,28,1,1,1,6,9,dry_van,36336,moderate,44244,950,241,219,1537,125.0,88.0,3.7,4.8,3.13,3.96,3.69,0.1316,5.0,0.119,1.024,0.008,-0.155,0.1952,0.5,0.5,986046,500,combined,0,0,0,0,Preferred,0.0,0.0,0.0
POL000021,IL,urban,van,10506,0,2.5,0,494,28,1,0,1,6,1,general,54765,severe,43721,703,185,168,1410,69.0,63.0,20.0,5.8,2.2,4.14,4.24,0.0982,5.0,0.177,1.326,0.063,0.215,0.242,0.5,0.5,512600,2500,combined,1,1,0,5071,Standard,2.0,10142.0,10142.0
POL000022,CA,urban,van,6400,0,1.2,0,915,39,4,0,1,12,2,general,19704,low,36248,1231,401,345,1398,155.0,138.0,7.1,3.1,2.92,3.94,2.04,0.1259,5.0,0.071,0.649,0.0,0.019,0.1147,1.0,1.0,488010,500,combined,0,0,0,0,Preferred,0.0,0.0,0.0
POL000023,TX,long_haul,van,5634,0,7.3,0,1546,39,1,0,1,12,6,general,49386,moderate,91504,1160,331,248,2990,139.0,111.0,37.7,9.2,1.63,4.29,6.76,0.1198,5.0,0.257,5.0,0.0,-1.022,0.2627,1.0,1.0,97198,1000,comprehensive,0,0,0,0,High-Risk,0.0,0.0,0.0
POL000024,FL,urban,semi_truck,68415,1,4.0,1,87,49,0,1,1,12,4,hazmat,103738,high,43301,800,222,209,1408,84.0,82.0,8.6,4.3,1.22,4.0,3.34,0.105,5.0,0.12,0.981,5.0,0.408,0.197,0.433,0.433,97058,1000,collision,0,0,0,0,Preferred,0.0,0.0,0.0
POL000025,FL,mixed,box_truck,23784,0,0.0,0,43,23,1,0,1,12,8,dry_van,88544,high,79125,1291,384,319,2915,159.0,123.0,35.9,3.9,1.9,3.19,2.79,0.1232,5.0,0.214,0.846,0.0,-0.147,0.2546,1.0,1.0,475536,500,liability_only,0,0,0,0,High-Risk,0.0,0.0,0.0
POL000026,PA,urban,van,9212,0,12.2,0,933,34,1,2,0,12,4,dry_van,78593,high,32463,796,241,207,1366,104.0,105.0,23.6,1.9,2.79,3.99,1.84,0.1307,5.0,0.103,0.602,0.043,0.525,0.1737,1.0,1.0,485863,2500,liability_only,0,0,0,0,Preferred,0.0,0.0,0.0
POL000027,TX,long_haul,pickup,6235,0,7.7,0,1122,47,1,1,1,6,7,general,73546,moderate,49196,1080,340,279,1658,136.0,69.0,30.2,9.2,2.19,3.25,6.99,0.1259,5.0,0.098,5.0,0.029,-0.791,0.2881,0.5,0.5,1036046,1000,combined,1,1,0,7452,High-Risk,2.0,14904.0,14904.0
POL000028,NY,long_haul,pickup,6837,0,5.7,0,485,40,0,0,1,12,8,dry_van,77610,high,83829,2954,774,563,2452,257.0,231.0,16.7,13.0,3.2,3.96,9.32,0.087,5.0,0.01,5.0,0.028,-0.572,0.3379,1.0,1.0,975461,500,comprehensive,0,0,0,0,High-Risk,0.0,0.0,0.0
POL000029,IL,mixed,van,5977,0,4.6,1,411,28,1,0,1,6,7,refrigerated,77008,severe,101807,2579,727,514,3227,257.0,220.0,10.6,6.4,1.94,2.99,4.8,0.0997,5.0,0.196,1.265,0.0,0.026,0.2512,0.5,0.5,1988952,1000,combined,0,0,0,0,Standard,0.0,0.0,0.0
POL000030,CA,mixed,pickup,5787,0,16.4,0,778,47,2,0,0,12,13,livestock,87593,low,42755,1298,344,359,1657,177.0,126.0,16.6,4.7,2.41,4.01,3.6,0.1364,5.0,0.027,1.203,0.026,0.565,0.2017,1.0,1.0,952883,500,combined,0,0,0,0,Preferred,0.0,0.0,0.0
POL000031,IL,urban,semi_truck,63832,1,7.4,1,647,51,0,1,1,12,8,livestock,66440,severe,72434,2073,529,493,2403,236.0,157.0,15.7,5.3,3.13,3.77,3.7,0.1138,5.0,0.181,1.016,1.66,-0.096,0.2251,0.7243,0.7243,478425,500,combined,0,0,0,0,Standard,0.0,0.0,0.0
POL000032,CA,long_haul,pickup,6435,0,4.9,1,491,32,0,0,0,12,1,hazmat,80529,low,39377,546,193,128,1309,58.0,52.0,10.4,10.1,2.3,4.46,6.67,0.1062,5.0,0.12,5.0,0.0,0.329,0.2782,1.0,1.0,286915,2500,combined,1,2,0,8221,High-Risk,2.0,8221.0,8221.0
POL000033,CA,long_haul,semi_truck,73526,1,6.2,1,1376,52,2,0,0,12,15,refrigerated,85494,low,75128,1834,533,440,3031,87.0,190.0,25.8,10.2,3.05,4.73,7.24,0.0474,5.0,0.191,5.0,0.042,-0.718,0.3198,0.7513,0.7513,311298,5000,collision,0,0,0,0,High-Risk,0.0,0.0,0.0
POL000034,TN,long_haul,van,4225,0,2.4,0,188,35,1,1,1,6,147,dry_van,216249,moderate,28657,374,87,105,965,32.0,31.0,14.4,9.5,1.84,3.31,6.83,0.0856,5.0,0.068,5.0,0.056,-0.178,0.2529,0.5,0.5,97868,5000,comprehensive,1,2,0,4514,Standard,4.0,9028.0,9028.0
POL000035,AZ,mixed,pickup,7450,0,0.0,0,922,39,0,0,1,12,2,dry_van,28271,low,90245,1478,377,303,2646,135.0,128.0,22.8,2.3,2.18,2.36,1.65,0.0913,5.0,0.15,0.427,0.0,-0.923,0.1548,1.0,1.0,511782,1000,liability_only,0,0,0,0,Preferred,0.0,0.0,0.0
POL000036,PA,highway,semi_truck,68166,1,2.6,1,1137,36,0,2,0,3,2,general,30156,high,38778,811,294,215,1523,86.0,79.0,1.2,3.7,2.6,4.68,2.02,0.106,5.0,0.093,0.614,0.0,0.625,0.1471,0.25,0.25,306111,1000,combined,0,0,0,0,Preferred,0.0,0.0,0.0
POL000037,TX,long_haul,box_truck,28407,1,2.0,1,1787,51,1,0,0,12,3,general,37961,moderate,28564,618,196,169,1079,58.0,81.0,40.5,8.8,2.07,3.87,5.39,0.0939,5.0,0.185,5.0,0.134,0.274,0.328,0.8161,0.8161,501764,250,combined,1,1,1,517126,High-Risk,1.22534,633655.19,633655.19
POL000038,CA,highway,van,8975,0,6.0,0,2314,40,1,0,0,3,3,hazmat,87403,low,112244,1401,383,392,4245,199.0,134.0,31.1,4.5,2.34,4.45,3.41,0.142,5.0,0.209,0.846,0.011,-0.229,0.2268,0.25,0.25,294514,5000,comprehensive,0,0,0,0,Standard,0.0,0.0,0.0
POL000039,GA,mixed,straight_truck,34214,1,0.2,0,568,50,0,1,0,6,3,dry_van,40015,moderate,49582,959,297,302,2017,113.0,97.0,15.7,4.1,2.27,4.07,2.5,0.1178,5.0,0.165,0.78,1.491,0.343,0.2073,0.5,0.5,293171,5000,comprehensive,0,0,0,0,Preferred,0.0,0.0,0.0
POL000040,FL,urban,pickup,6194,0,8.0,0,493,37,1,1,1,12,6,general,18134,high,40646,532,201,132,1412,66.0,41.0,16.7,5.5,1.45,4.17,4.15,0.1241,5.0,0.019,1.181,0.0,0.0,0.2603,1.0,1.0,292387,1000,combined,0,0,0,0,High-Risk,0.0,0.0,0.0
POL000041,CA,long_haul,van,12484,0,1.7,1,606,45,3,0,0,12,17,livestock,72704,low,27675,534,160,150,1149,82.0,74.0,49.9,3.8,2.34,3.91,2.99,0.1536,5.0,0.043,3.861,0.0,-0.202,0.2287,0.9225,0.9225,1038861,500,collision,0,0,0,0,Standard,0.0,0.0,0.0
POL000042,NY,urban,semi_truck,71042,1,2.3,0,1056,31,2,2,1,12,1,dry_van,29306,high,54128,1554,471,399,2173,187.0,149.0,22.8,4.2,2.09,3.37,2.26,0.1203,5.0,0.141,0.684,0.042,0.145,0.1959,0.5413,0.5413,304766,1000,liability_only,0,0,0,0,Preferred,0.0,0.0,0.0
POL000043,CA,urban,semi_truck,67883,1,1.3,0,0,52,3,0,1,12,5,refrigerated,86522,low,40346,1046,324,234,1420,120.0,108.0,25.9,1.7,2.24,2.48,1.02,0.1147,5.0,0.084,0.192,5.0,-0.251,0.1724,0.4035,0.4035,484659,500,liability_only,0,0,0,0,Preferred,0.0,0.0,0.0
POL000044,TN,mixed,van,8796,0,3.0,1,162,39,1,2,1,12,6,general,35796,moderate,18133,468,153,105,630,78.0,40.0,3.6,3.9,2.52,4.03,2.6,0.1667,5.0,0.134,0.778,0.064,-0.435,0.1971,0.6044,0.6044,305746,1000,combined,0,0,0,0,Preferred,0.0,0.0,0.0
POL000045,TX,mixed,pickup,4893,0,1.5,1,1849,55,1,2,1,3,2,dry_van,28911,moderate,37064,1470,407,332,1291,159.0,143.0,38.2,5.2,3.47,3.58,3.82,0.1082,5.0,0.193,1.171,0.019,0.528,0.2629,0.25,0.25,1011540,500,comprehensive,0,0,0,0,High-Risk,0.0,0.0,0.0
POL000046,IL,mixed,straight_truck,33487,1,1.6,1,149,41,1,0,1,12,10,dry_van,131450,severe,19692,408,88,124,651,58.0,27.0,7.9,4.8,1.49,2.55,3.74,0.1422,5.0,0.0,1.087,5.0,-0.539,0.1764,0.3282,0.3282,1042256,250,comprehensive,1,1,0,2616,Preferred,3.046923,7970.75,7970.75
POL000047,TX,urban,van,7240,0,7.6,0,236,44,1,0,0,3,3,dry_van,33033,moderate,24156,773,256,183,951,107.0,76.0,17.9,7.6,3.06,3.19,5.41,0.1384,5.0,0.087,1.678,0.0,0.018,0.2939,0.25,0.25,290905,500,combined,1,2,0,3001,High-Risk,8.0,12004.0,12004.0
POL000048,NY,urban,van,6469,0,3.2,1,2261,65,0,1,0,12,41,refrigerated,268252,high,34811,500,195,140,1337,75.0,47.0,2.8,2.0,2.24,3.4,1.31,0.15,5.0,0.07,0.384,0.016,-0.516,0.1461,1.0,1.0,303174,500,comprehensive,0,0,0,0,Preferred,0.0,0.0,0.0
POL000049,NY,mixed,box_truck,26597,1,7.0,0,246,49,1,0,1,3,12,general,75048,high,15680,251,65,38,466,22.0,32.0,24.7,5.1,1.75,2.69,3.76,0.0876,5.0,0.099,1.203,5.0,0.213,0.2327,0.25,0.25,95892,1000,collision,0,0,0,0,Standard,0.0,0.0,0.0
POL000050,TX,long_haul,straight_truck,33167,1,5.6,0,235,43,0,1,1,12,1,hazmat,108391,moderate,16064,373,105,85,463,49.0,39.0,67.8,11.0,3.28,0.1,7.41,0.1314,5.0,0.0,5.0,4.442,-0.084,0.3535,0.2677,0.2677,487383,1000,comprehensive,0,0,0,0,High-Risk,0.0,0.0,0.0
POL000051,AZ,mixed,pickup,9191,0,10.0,0,2019,30,1,1,1,6,1,general,11099,low,46458,844,312,205,1577,93.0,73.0,5.8,3.9,1.08,3.48,2.93,0.1102,5.0,0.0,0.873,0.043,-0.639,0.1542,0.5,0.5,1000390,1000,combined,0,0,0,0,Preferred,0.0,0.0,0.0
POL000052,PA,highway,semi_truck,68755,1,1.1,0,340,35,1,1,0,12,39,dry_van,95882,high,80684,2875,925,761,3281,403.0,314.0,14.8,7.2,3.56,4.15,5.43,0.1402,5.0,0.132,1.786,4.163,0.864,0.2676,0.8068,0.8068,98486,1000,collision,0,0,0,0,High-Risk,0.0,0.0,0.0
POL000053,TN,long_haul,box_truck,20057,0,20.0,0,552,49,2,0,1,12,8,dry_van,90642,moderate,42997,1104,293,254,1573,123.0,69.0,25.7,10.9,2.77,2.81,8.17,0.1114,5.0,0.111,5.0,0.0,-0.11,0.3512,1.0,1.0,102002,500,combined,1,1,0,12520,High-Risk,1.0,12520.0,12520.0
POL000054,OH,highway,box_truck,24908,0,3.7,0,718,39,2,1,1,12,14,livestock,141975,severe,50267,672,198,159,1677,94.0,75.0,20.3,10.1,1.57,4.15,7.65,0.1399,5.0,0.2,2.449,0.0,0.055,0.2825,1.0,1.0,982132,1000,combined,0,0,0,0,High-Risk,0.0,0.0,0.0
POL000055,IL,mixed,semi_truck,65120,1,5.5,0,1688,40,0,1,1,12,30,general,35113,severe,41353,643,163,128,1261,63.0,49.0,8.0,3.9,1.12,3.18,2.66,0.098,5.0,0.147,0.855,0.0,-0.529,0.1633,0.4135,0.4135,996144,500,combined,0,0,0,0,Preferred,0.0,0.0,0.0
POL000056,TN,highway,straight_truck,34247,1,6.5,0,19,31,1,1,1,12,2,dry_van,13761,moderate,63822,813,244,161,2065,98.0,82.0,13.7,3.8,1.75,3.25,2.56,0.1205,5.0,0.071,0.808,5.0,-0.665,0.2135,1.0,1.0,98656,1000,collision,0,0,0,0,Preferred,0.0,0.0,0.0
POL000057,CA,highway,van,3478,0,4.7,1,258,46,3,0,0,12,7,refrigerated,70942,low,34557,454,162,99,1518,73.0,60.0,20.7,6.4,2.67,2.45,4.24,0.1608,5.0,0.085,1.355,0.021,-0.133,0.234,1.0,1.0,97252,1000,combined,0,0,0,0,Standard,0.0,0.0,0.0
POL000058,TX,mixed,pickup,3034,0,20.0,0,722,43,2,0,1,12,7,hazmat,221016,moderate,128143,2438,684,567,4241,302.0,230.0,9.6,2.9,1.54,3.36,1.94,0.1239,5.0,0.18,0.576,0.03,-0.324,0.1802,1.0,1.0,480280,1000,combined,0,0,0,0,Preferred,0.0,0.0,0.0
POL000059,CA,mixed,straight_truck,31912,1,1.4,1,467,50,2,1,1,3,1,general,22638,low,52882,710,193,176,1854,87.0,62.0,15.6,4.6,1.54,3.22,3.21,0.1225,5.0,0.082,0.967,1.974,-0.577,0.1901,0.25,0.25,1016394,1000,combined,0,0,0,0,Preferred,0.0,0.0,0.0
POL000060,TX,highway,semi_truck,74631,1,3.4,0,212,55,1,0,1,12,2,dry_van,30037,moderate,38124,951,285,191,1096,94.0,82.0,1.4,3.1,2.13,2.89,1.59,0.0988,5.0,0.043,0.553,4.903,0.142,0.113,0.3812,0.3812,312844,2500,comprehensive,0,0,0,0,Preferred,0.0,0.0,0.0
POL000061,FL,urban,box_truck,22781,0,0.7,0,385,47,2,0,1,12,10,livestock,100470,high,26297,424,57,69,881,43.0,38.0,4.8,3.5,0.78,3.16,1.43,0.1014,5.0,0.136,0.337,0.0,-0.535,0.155,0.7513,0.7513,99930,1000,comprehensive,0,0,0,0,Preferred,0.0,0.0,0.0
POL000062,TX,urban,box_truck,26037,1,0.5,1,2728,31,0,0,1,3,1,dry_van,16141,moderate,27794,712,206,147,845,65.0,50.0,37.4,2.9,1.41,2.97,2.08,0.0913,5.0,0.089,0.7,0.031,0.389,0.224,0.25,0.25,104934,500,collision,0,0,0,0,Standard,0.0,0.0,0.0
POL000063,PA,mixed,semi_truck,71739,1,7.1,0,0,27,1,0,1,12,2,dry_van,50955,high,39500,978,300,273,1411,127.0,86.0,21.4,2.4,1.98,2.41,1.89,0.1299,5.0,0.207,0.564,5.0,-1.047,0.1818,0.395,0.395,313202,500,comprehensive,0,0,0,0,Preferred,0.0,0.0,0.0
POL000064,FL,urban,semi_truck,74452,1,0.0,1,132,50,0,3,0,12,8,refrigerated,94060,high,27738,579,240,191,1175,102.0,69.0,16.8,5.2,2.91,3.22,3.93,0.1762,5.0,0.084,0.966,4.949,0.799,0.2313,0.2774,0.2774,101756,500,collision,0,0,0,0,Standard,0.0,0.0,0.0
POL000065,TX,urban,straight_truck,35333,1,11.0,0,0,43,3,0,1,12,6,livestock,121105,moderate,17413,567,190,134,433,76.0,48.0,22.4,8.0,2.95,2.36,5.56,0.134,5.0,0.132,1.886,5.0,-1.037,0.2935,0.2902,0.2902,287666,1000,combined,0,0,0,0,High-Risk,0.0,0.0,0.0
POL000066,NY,mixed,box_truck,29281,1,4.6,0,695,59,2,1,1,12,14,general,109719,high,36201,525,152,153,1193,81.0,56.0,31.8,5.5,1.6,2.29,3.74,0.1543,5.0,0.139,1.017,1.895,-0.463,0.2546,1.0,1.0,488401,2500,collision,0,0,0,0,High-Risk,0.0,0.0,0.0
POL000067,CA,mixed,van,11092,0,3.6,0,0,41,0,0,0,12,5,refrigerated,57614,low,28234,385,88,93,1076,45.0,37.0,30.4,6.5,1.37,4.82,4.41,0.1169,5.0,0.147,1.279,0.041,-0.1,0.2621,0.9411,0.9411,97296,2500,comprehensive,0,0,0,0,High-Risk,0.0,0.0,0.0
POL000068,PA,mixed,box_truck,22372,0,1.3,1,497,26,0,0,1,12,8,general,28439,high,42887,869,264,214,1555,112.0,80.0,23.3,1.0,2.5,2.91,0.43,0.1289,5.0,0.085,0.142,0.0,0.0,0.1481,1.0,1.0,475414,500,liability_only,0,0,0,0,Preferred,0.0,0.0,0.0
POL000069,CA,mixed,box_truck,27079,1,0.3,0,1551,29,1,0,0,12,3,livestock,38157,low,32732,606,254,125,1288,95.0,58.0,3.8,5.0,2.06,4.58,3.36,0.1568,5.0,0.047,0.943,0.0,-0.475,0.2068,0.9352,0.9352,103577,500,comprehensive,0,0,0,0,Preferred,0.0,0.0,0.0
POL000070,AZ,long_haul,box_truck,28545,1,12.8,0,95,35,2,1,1,12,5,dry_van,36006,low,23931,468,173,106,871,45.0,39.0,31.3,6.5,2.77,4.14,4.55,0.0962,5.0,0.14,5.0,5.0,-0.254,0.2901,0.6837,0.6837,515432,500,collision,0,0,0,0,High-Risk,0.0,0.0,0.0
POL000071,PA,long_haul,box_truck,23130,0,7.4,0,345,60,0,1,0,12,8,dry_van,56930,high,44814,874,339,220,1661,101.0,95.0,66.1,9.2,1.95,4.6,7.11,0.1156,5.0,0.25,5.0,0.0,0.544,0.3846,1.0,1.0,100574,250,comprehensive,0,0,0,0,High-Risk,0.0,0.0,0.0
POL000072,TX,mixed,pickup,4260,0,1.6,0,392,53,1,0,0,12,4,general,55412,moderate,31795,550,90,140,1172,68.0,62.0,10.3,8.0,2.14,5.11,5.9,0.1236,5.0,0.247,1.739,0.043,-0.254,0.2783,1.0,1.0,488888,1000,liability_only,0,0,0,0,High-Risk,0.0,0.0,0.0
POL000073,CA,mixed,box_truck,23590,0,0.0,0,450,37,1,0,1,12,1,refrigerated,39422,low,89800,1528,384,334,2750,156.0,108.0,17.6,3.2,1.41,3.5,2.18,0.1021,5.0,0.046,0.753,0.0,0.562,0.1728,1.0,1.0,984684,500,comprehensive,0,0,0,0,Preferred,0.0,0.0,0.0
POL000074,PA,highway,semi_truck,72317,1,0.9,1,1014,40,0,2,0,6,17,general,47964,high,47990,699,240,203,1973,86.0,77.0,5.2,4.7,2.17,3.01,3.14,0.123,5.0,0.112,0.961,0.0,0.047,0.1995,0.4799,0.4799,507120,1000,collision,0,0,0,0,Preferred,0.0,0.0,0.0
POL000075,GA,long_haul,semi_truck,69792,1,0.2,0,28,28,2,1,0,12,26,general,59811,moderate,28372,397,178,73,1188,58.0,42.0,13.0,10.6,2.71,4.15,7.31,0.1461,5.0,0.184,5.0,5.0,0.03,0.2902,0.2837,0.2837,487376,500,collision,0,0,0,0,High-Risk,0.0,0.0,0.0
POL000076,GA,urban,box_truck,25037,0,8.0,0,1178,27,1,0,1,6,1,general,22301,moderate,19531,352,103,108,669,56.0,40.0,13.9,8.5,2.81,3.87,6.0,0.1591,5.0,0.137,1.791,0.0,-0.226,0.2589,0.5,0.5,500230,2500,comprehensive,0,0,0,0,High-Risk,0.0,0.0,0.0
POL000077,PA,urban,pickup,3000,0,6.4,0,1455,54,2,0,0,6,19,dry_van,79769,high,24414,389,162,99,911,48.0,34.0,20.0,2.1,2.15,3.16,1.41,0.1234,5.0,0.141,0.301,0.033,0.059,0.1917,0.5,0.5,101303,500,liability_only,0,0,0,0,Preferred,0.0,0.0,0.0
POL000078,CA,highway,box_truck,25797,0,3.5,0,475,52,1,0,1,12,19,dry_van,69420,low,83196,2282,643,486,2575,232.0,204.0,27.2,5.6,1.91,4.11,3.76,0.1017,5.0,0.113,1.097,0.021,-0.948,0.2085,1.0,1.0,305056,1000,combined,0,0,0,0,Preferred,0.0,0.0,0.0
